,City,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,nawabganj,24.59,88.27,61.34,61.34,59,13,2.44,BD,1609712440
320,najran,17.49,44.13,59.0,59.0,58,0,1.03,SA,1609712342
321,north bend,43.41,-124.22,54.0,51.01,81,90,3.36,US,1609712486
322,palafrugell,41.92,3.16,28.4,28.4,86,0,4.83,ES,1609712220
323,weilburg,50.48,8.25,32.0,28.99,92,99,6.85,DE,1609712488
324,san patricio,28.02,-97.52,69.8,66.99,43,20,6.93,US,1609712489
325,kars,40.6,43.09,6.8,6.8,92,0,0.58,TR,1609712491
326,north branch,45.51,-92.98,30.99,27.0,83,26,6.51,US,1609712269
327,bambanglipuro,-7.95,110.28,76.44,76.44,86,100,3.04,ID,1609712493
328,palmer,42.16,-72.33,34.0,30.99,74,90,4.7,US,1609712315
329,tual,-5.67,132.75,84.6,84.6,76,90,11.27,ID,1609712495
330,kruisfontein,-34.0,24.73,72.0,72.0,87,13,2.1,ZA,1609712497
331,yar-sale,66.83,70.83,-20.29,-20.29,86,45,13.49,RU,1609712498
332,tadine,-21.55,167.88,82.13,82.13,79,83,3.62,NC,1609712499
333,te anau,-45.42,167.72,58.12,58.12,70,64,1.63,NZ,1609712502
334,manggar,-2.88,108.27,78.44,78.44,84,67,7.2,ID,1609712503
335,saint-pierre,-21.34,55.48,73.4,63.0,73,0,8.05,RE,1609712504
336,wuxue,29.85,115.55,37.99,37.99,76,0,0.94,CN,1609712506
337,chabua,27.48,95.17,53.26,53.26,57,1,2.93,IN,1609712507
338,langarud,37.2,50.15,48.2,48.2,76,90,2.24,IR,1609712508
339,jinja,0.44,33.2,66.07,66.07,83,65,2.13,UG,1609712509
340,dargaville,-35.93,173.88,73.78,73.78,53,1,2.75,NZ,1609712510
341,pafos,34.77,32.42,53.6,51.01,76,20,8.05,CY,1609712512
342,beringovskiy,63.05,179.32,12.56,12.56,95,100,26.24,RU,1609712513
